taille,operation,device,temps_ms
1000,Norme,CPU,0.0057
1000,Norme,GPU,0.0291
10000,Norme,CPU,0.0074
10000,Norme,GPU,0.0332
100000,Norme,CPU,0.0258
100000,Norme,GPU,0.0424
1000000,Norme,CPU,0.2033
1000000,Norme,GPU,0.0385
10000000,Norme,CPU,3.1905
10000000,Norme,GPU,0.176
100000000,Norme,CPU,33.9037
100000000,Norme,GPU,1.5013
1000,Produit scalaire,CPU,0.0027
1000,Produit scalaire,GPU,0.0259
10000,Produit scalaire,CPU,0.0036
10000,Produit scalaire,GPU,0.027
100000,Produit scalaire,CPU,0.0097
100000,Produit scalaire,GPU,0.0266
1000000,Produit scalaire,CPU,0.3306
1000000,Produit scalaire,GPU,0.055
10000000,Produit scalaire,CPU,5.044
10000000,Produit scalaire,GPU,0.3241
100000000,Produit scalaire,CPU,60.343
100000000,Produit scalaire,GPU,3.1425
1000,Somme,CPU,0.0036
1000,Somme,GPU,0.0232
10000,Somme,CPU,0.004
10000,Somme,GPU,0.0247
100000,Somme,CPU,0.0076
100000,Somme,GPU,0.0382
1000000,Somme,CPU,0.1762
1000000,Somme,GPU,0.0372
10000000,Somme,CPU,2.3382
10000000,Somme,GPU,0.1763
100000000,Somme,CPU,33.4152
100000000,Somme,GPU,1.4977
