operation,taille,CPU,GPU,speedup (CPU/GPU)
Norme,1000,0.0057,0.0291,0.1958762886597938
Norme,10000,0.0074,0.0332,0.22289156626506024
Norme,100000,0.0258,0.0424,0.6084905660377359
Norme,1000000,0.2033,0.0385,5.280519480519481
Norme,10000000,3.1905,0.176,18.12784090909091
Norme,100000000,33.9037,1.5013,22.582894824485447
Produit scalaire,1000,0.0027,0.0259,0.10424710424710426
Produit scalaire,10000,0.0036,0.027,0.13333333333333333
Produit scalaire,100000,0.0097,0.0266,0.36466165413533835
Produit scalaire,1000000,0.3306,0.055,6.010909090909091
Produit scalaire,10000000,5.044,0.3241,15.56309780931811
Produit scalaire,100000000,60.343,3.1425,19.20222752585521
Somme,1000,0.0036,0.0232,0.15517241379310345
Somme,10000,0.004,0.0247,0.16194331983805668
Somme,100000,0.0076,0.0382,0.19895287958115185
Somme,1000000,0.1762,0.0372,4.736559139784947
Somme,10000000,2.3382,0.1763,13.262620533182075
Somme,100000000,33.4152,1.4977,22.311010215664016
